Section Number,Category / Fee Component,Official Deadline Date / Window,Late Penalty / Fee Amount,Grace Period Rules & Conditions
Section 15.1,Fall Semester Tuition Fee,August 10 (5:00 PM EST),$50 flat fee for Days 1-10 late,Permitted up to August 20 with flat penalty under Section 8.1.
Section 15.2,Spring Semester Tuition Fee,January 12 (5:00 PM EST),$50 flat fee for Days 1-10 late,Permitted up to January 22 with flat penalty under Section 8.1.
Section 15.3,Summer Term Tuition Fee,June 01 (5:00 PM EST),$30 flat fee for Days 1-5 late,No enrollment permitted after June 06 under any circumstances.
Section 15.4,Late Course Registration Surcharge,Day 8 to Day 14 of semester,$100 administrative surcharge,Must be paid prior to registration confirmation by Registrar.
Section 15.5,Revaluation & Script Inspection Fee,Within 10 days of results,$30 non-refundable fee per course,Fully refunded if revaluation results in a letter grade increase.
Section 15.6,Supplementary Exam Registration,Within 14 days of ESE results,$45 per paper / course,Capped at maximum 4 supplementary papers per Summer Term.
Section 15.7,Hostel Residence Fee,August 05 (Fall) / Jan 08 (Spring),$75 late residence surcharge,Room allocation cancelled if unpaid 5 days past deadline.
Section 15.8,Transcript & Verification Fee,On demand application,$15 per official transcript copy,Processed within 3 working days by Registrar's Office.
Section 15.9,Readmission Processing Fee,Post-cancellation re-application,$300 readmission fee,Applicable for students seeking readmission after fee default.
Section 15.10,Tuition Refund Schedule (Withdrawal),Before Semester Day 1 (100% refund),Day 1-10 (75% refund),Day 11-20 (50% refund), No refund after Day 20 of semester.
